#    energy (eV)  cross sec. (b)
7.616625e+01    5.411274e+01
7.618300e+01    5.097127e+01
7.619975e+01    4.820835e+01
7.621650e+01    4.577037e+01
7.623325e+01    4.361109e+01
7.625000e+01    4.169084e+01
7.626675e+01    3.997580e+01
7.628350e+01    3.843724e+01
7.630863e+01    3.640808e+01
7.633375e+01    3.465527e+01
7.635887e+01    3.312689e+01
7.638885e+01    3.154161e+01
7.642125e+01    3.006305e+01
7.645365e+01    2.878078e+01
7.648605e+01    2.765799e+01
7.651844e+01    2.666669e+01
7.656333e+01    2.547106e+01
7.660991e+01    2.440743e+01
7.665649e+01    2.348872e+01
7.670306e+01    2.268801e+01
7.675155e+01    2.195766e+01
7.682715e+01    2.098795e+01
7.690274e+01    2.018067e+01
7.698714e+01    1.942708e+01
7.707595e+01    1.876455e+01
7.716475e+01    1.820610e+01
7.726236e+01    1.768632e+01
7.735997e+01    1.724439e+01
7.750909e+01    1.668487e+01
7.767718e+01    1.617933e+01
7.785506e+01    1.574902e+01
7.804274e+01    1.538004e+01
7.824513e+01    1.505399e+01
7.857075e+01    1.463990e+01
7.897234e+01    1.425469e+01
7.947540e+01    1.389410e+01
8.010866e+01    1.355575e+01
8.090091e+01    1.323784e+01
8.204227e+01    1.289305e+01
8.378664e+01    1.249639e+01
8.616747e+01    1.207467e+01
8.923669e+01    1.162574e+01
9.372364e+01    1.106069e+01
1.090543e+02    9.328314e+00
1.103071e+02    9.227670e+00
1.107114e+02    9.218080e+00
1.112001e+02    9.239921e+00
1.116225e+02    9.311139e+00
1.118943e+02    9.400892e+00
1.121146e+02    9.513234e+00
1.123350e+02    9.677552e+00
1.125255e+02    9.879937e+00
1.126684e+02    1.008325e+01
1.128014e+02    1.032625e+01
1.129293e+02    1.062524e+01
1.130147e+02    1.087035e+01
1.131234e+02    1.125096e+01
1.132224e+02    1.168308e+01
1.132885e+02    1.202852e+01
1.133515e+02    1.241124e+01
1.134116e+02    1.283368e+01
1.134717e+02    1.332414e+01
1.135318e+02    1.389720e+01
1.135874e+02    1.451747e+01
1.136385e+02    1.518092e+01
1.136897e+02    1.595325e+01
1.137280e+02    1.661876e+01
1.137664e+02    1.737289e+01
1.138073e+02    1.829387e+01
1.138380e+02    1.907891e+01
1.138687e+02    1.996019e+01
1.138994e+02    2.095526e+01
1.139300e+02    2.208633e+01
1.139585e+02    2.328117e+01
1.139869e+02    2.464617e+01
1.140059e+02    2.566858e+01
1.140249e+02    2.679629e+01
1.140438e+02    2.804522e+01
1.140628e+02    2.943426e+01
1.140818e+02    3.098576e+01
1.140999e+02    3.264480e+01
1.141180e+02    3.450364e+01
1.141361e+02    3.659415e+01
1.141543e+02    3.895352e+01
